Severity,temperature,humidity,visibility,wind_speed,weather,Junction,traffic_signal
2,15.8,84.0,4.0,11.5,22,0,0
2,16.0,77.0,1.0,9.2,22,0,0
3,17.6,79.0,3.0,11.5,9,0,0
3,15.8,79.0,1.5,10.4,22,0,0
3,17.1,77.0,1.5,13.8,22,0,0
3,19.9,81.0,1.0,10.4,22,1,0
3,19.9,78.0,4.0,12.7,22,0,0
3,16.0,77.0,7.0,11.5,27,0,0
3,14.0,56.0,9.0,11.5,22,0,0
3,14.0,74.0,4.0,10.4,22,0,0
2,7.0,87.0,10.0,8.1,33,0,0
3,17.1,59.0,10.0,21.9,27,0,0
2,6.1,83.0,10.0,8.1,28,0,1
2,5.0,81.0,10.0,3.5,2,0,0
3,12.0,80.0,2.0,8.1,22,0,0
3,15.1,51.0,10.0,18.4,25,0,0
2,7.5,87.0,10.0,4.6,33,0,0
2,7.5,87.0,10.0,4.6,33,0,0
2,12.0,70.0,9.0,5.8,27,0,1
2,12.0,77.0,10.0,6.9,27,1,0
3,18.0,54.0,10.0,25.3,27,0,0
2,10.9,77.0,10.0,6.9,25,0,1
2,13.6,74.0,10.0,3.5,27,0,0
3,10.4,78.0,10.0,4.6,27,1,0
2,13.6,74.0,10.0,3.5,27,0,0
2,18.0,68.0,10.0,10.4,25,0,0
2,18.0,54.0,10.0,6.9,2,0,0
2,18.5,62.0,10.0,9.2,25,0,1
2,19.9,65.0,10.0,9.2,25,0,0
2,19.9,65.0,10.0,9.2,25,0,1
2,21.6,49.0,10.0,6.9,25,0,1
2,21.6,49.0,10.0,6.9,25,0,0
2,21.0,57.0,10.0,4.6,25,0,0
2,21.0,57.0,10.0,8.1,25,0,1
3,21.0,57.0,10.0,8.1,25,0,0
2,21.0,51.0,10.0,8.1,25,0,0
3,17.1,62.0,10.0,3.5,25,0,0
2,26.6,59.0,10.0,16.1,22,0,1
2,25.5,66.0,7.0,16.1,22,0,0
3,23.0,80.0,3.0,12.7,22,1,0
3,19.0,71.0,5.0,24.2,22,1,0
3,19.0,71.0,5.0,24.2,22,1,0
3,19.9,62.0,10.0,23.0,33,0,0
3,16.0,68.0,10.0,13.8,25,0,0
3,10.0,44.0,10.0,11.5,28,0,0
3,8.1,61.0,10.0,13.8,33,0,0
2,7.0,58.0,10.0,11.5,2,0,0
3,10.9,51.0,10.0,9.2,33,0,0
3,12.9,43.0,10.0,16.1,25,1,0
3,12.9,43.0,10.0,16.1,25,0,0
3,10.0,70.0,10.0,5.8,33,0,0
3,12.9,65.0,10.0,10.4,33,0,0
3,12.9,65.0,10.0,10.4,33,0,0
3,15.8,79.0,0.5,10.4,37,1,0
2,23.0,96.0,2.5,8.1,27,0,0
2,23.0,92.0,1.5,8.1,27,0,0
3,21.9,89.0,5.0,5.8,13,1,0
3,22.8,96.0,3.0,8.1,22,0,0
2,23.0,86.0,3.0,5.8,13,0,0
3,23.0,96.0,0.2,5.8,13,0,0
2,24.1,98.0,1.5,5.8,22,0,0
3,24.8,100.0,1.5,5.8,22,0,0
3,24.8,100.0,1.5,2.3,13,0,0
2,24.1,96.0,0.8,4.6,13,0,0
2,21.0,85.0,4.0,11.5,22,0,0
3,24.1,96.0,0.8,4.6,13,0,0
3,26.1,92.0,4.0,8.1,27,0,0
2,24.1,91.0,1.0,5.8,13,0,1
2,25.0,96.0,0.8,6.9,27,0,1
2,24.1,91.0,1.0,5.8,13,0,1
2,23.0,85.0,2.0,5.8,27,0,0
2,26.1,88.0,1.0,5.8,13,0,1
2,27.0,98.0,2.5,3.5,13,0,0
2,32.0,100.0,1.5,5.8,27,0,1
2,32.0,85.0,5.0,8.1,27,0,0
2,32.0,100.0,4.0,5.8,27,0,1
2,30.9,89.0,2.0,8.1,25,0,1
1,33.1,82.0,7.0,5.8,27,0,0
2,33.6,94.0,7.0,3.5,12,0,1
2,32.0,100.0,0.5,5.8,7,0,0
3,32.0,100.0,1.2,8.1,22,1,0
3,34.0,89.0,1.2,6.9,22,1,0
3,32.2,100.0,3.0,6.9,22,0,0
2,32.0,99.0,2.5,5.8,22,0,0
3,33.1,96.0,5.0,8.1,27,1,0
3,33.1,96.0,5.0,8.1,27,0,0
2,32.0,96.0,5.0,11.5,27,0,1
2,32.0,92.0,2.0,10.4,27,0,0
2,30.9,96.0,2.0,10.4,27,0,0
3,32.2,100.0,4.0,6.9,27,0,0
3,32.0,92.0,1.8,8.1,22,0,0
2,32.0,88.0,3.0,8.1,27,0,0
2,32.0,99.0,7.0,8.1,27,0,1
3,32.0,100.0,3.0,6.9,27,0,0
2,32.0,99.0,7.0,10.4,27,0,0
2,32.0,100.0,3.0,6.9,27,0,0
2,30.0,100.0,2.0,10.4,27,0,1
3,32.0,96.0,3.0,9.2,27,0,0
2,30.0,100.0,5.0,10.4,27,0,0
3,34.0,89.0,1.8,6.9,22,0,0
3,32.0,88.0,5.0,8.1,27,0,0
2,32.0,96.0,3.0,9.2,27,0,0
2,30.9,100.0,1.0,9.2,27,0,0
3,32.0,100.0,2.5,3.5,27,0,0
2,30.0,96.0,1.5,6.9,27,0,1
3,32.0,88.0,4.0,8.1,27,0,0
2,32.0,97.0,3.0,5.8,27,0,0
2,32.0,96.0,2.5,5.8,27,0,0
2,33.1,92.0,2.5,10.4,27,0,0
2,31.1,88.0,6.0,5.8,27,0,0
2,30.9,76.0,6.0,9.2,9,0,1
2,30.0,92.0,1.8,5.8,22,0,1
2,31.1,88.0,6.0,5.8,27,0,0
2,31.1,88.0,6.0,5.8,27,0,0
3,32.0,92.0,2.5,11.5,27,0,0
3,35.1,89.0,2.0,9.2,27,0,0
2,32.4,79.0,10.0,8.1,27,0,1
3,32.0,75.0,7.0,9.2,27,1,0
2,30.4,90.0,10.0,3.5,27,0,1
2,30.0,88.0,6.0,6.9,27,0,0
2,28.4,80.0,7.0,6.9,27,0,1
2,30.9,91.0,7.0,3.5,27,0,0
2,28.0,81.0,7.0,5.8,27,0,0
3,28.0,85.0,6.0,6.9,27,0,0
3,30.0,82.0,5.0,5.8,9,0,0
3,28.0,81.0,7.0,5.8,27,0,0
2,30.0,92.0,3.0,8.1,27,0,0
3,30.0,79.0,7.0,3.5,27,0,0
2,30.0,85.0,3.0,4.6,27,0,1
2,31.1,92.0,7.0,6.9,27,0,0
2,30.2,75.0,5.0,6.9,9,0,0
3,28.0,81.0,6.0,4.6,9,1,0
2,30.7,90.0,4.0,5.8,27,0,0
2,30.7,90.0,4.0,5.8,27,0,0
3,28.4,80.0,6.0,6.9,9,0,0
2,27.0,85.0,4.0,9.2,27,0,0
3,30.0,82.0,6.0,10.4,22,0,0
2,30.0,96.0,2.5,8.1,27,0,0
3,31.1,92.0,6.0,5.8,27,0,0
2,32.0,88.0,4.0,5.8,27,0,0
3,33.1,72.0,5.0,5.8,9,0,0
2,32.0,82.0,4.0,5.8,9,0,0
2,33.1,82.0,3.0,12.7,9,0,0
2,35.1,67.0,9.0,3.5,27,0,1
2,36.0,59.0,10.0,10.4,25,0,0
2,35.1,61.0,9.0,12.7,27,0,1
2,31.1,69.0,10.0,3.5,27,0,0
2,19.0,71.0,10.0,5.8,2,0,1
3,28.0,78.0,9.0,5.8,27,0,0
3,12.9,88.0,8.0,3.5,2,0,0
3,12.9,88.0,8.0,3.5,2,0,0
3,27.0,75.0,7.0,3.5,33,0,0
2,27.0,78.0,5.0,3.5,9,0,0
3,27.0,75.0,7.0,3.5,33,0,0
3,16.0,81.0,10.0,6.9,2,0,0
2,30.9,79.0,5.0,3.5,9,0,1
3,16.0,81.0,10.0,6.9,2,0,0
2,27.0,85.0,8.0,6.9,2,0,1
2,16.0,81.0,10.0,6.9,2,0,1
3,30.0,72.0,7.0,6.9,25,0,0
3,21.9,63.0,10.0,8.1,2,0,0
3,21.9,63.0,10.0,8.1,2,0,0
3,24.1,62.0,10.0,5.8,2,0,0
3,32.0,75.0,7.0,5.8,33,0,0
3,39.0,60.0,9.0,8.1,25,0,1
2,37.9,57.0,10.0,9.2,2,0,0
2,39.9,53.0,10.0,10.4,25,0,1
2,39.9,53.0,10.0,10.4,25,0,1
2,39.9,53.0,10.0,10.4,25,0,0
3,37.9,60.0,10.0,18.4,27,0,0
2,37.9,55.0,10.0,16.1,2,0,0
3,35.1,57.0,9.0,6.9,27,0,0
2,36.0,59.0,10.0,10.4,2,0,0
2,39.9,63.0,10.0,18.4,27,0,1
2,39.9,60.0,10.0,11.5,2,0,0
2,35.4,68.0,10.0,9.2,2,0,0
3,34.9,70.0,10.0,10.4,2,0,0
2,35.4,68.0,10.0,6.9,2,0,0
2,43.5,57.0,10.0,12.7,2,0,1
2,41.0,61.0,10.0,10.4,2,0,0
2,36.0,57.0,10.0,12.7,25,0,1
2,37.0,57.0,10.0,12.7,27,0,0
2,42.8,60.0,10.0,10.4,25,0,1
2,37.0,62.0,10.0,11.5,2,0,1
2,37.0,62.0,10.0,11.5,2,0,1
3,42.8,60.0,10.0,10.4,25,0,0
2,43.0,53.0,10.0,19.6,2,0,0
3,37.0,57.0,10.0,12.7,27,0,0
2,47.7,52.0,10.0,17.3,27,0,0
2,48.0,52.0,10.0,27.6,27,0,0
2,47.7,52.0,10.0,17.3,27,0,0
2,49.6,50.0,10.0,23.0,27,0,0
2,53.8,45.0,10.0,25.3,25,0,0
2,57.0,44.0,10.0,27.6,33,0,0
2,57.0,44.0,10.0,27.6,33,0,0
2,59.4,37.0,10.0,29.9,2,0,1
2,59.4,37.0,10.0,29.9,2,0,1
3,46.4,57.0,10.0,18.4,2,0,0
2,57.0,47.0,10.0,21.9,27,0,0
2,57.0,47.0,10.0,21.9,27,0,0
2,65.1,34.0,10.0,24.2,2,0,1
2,65.1,34.0,10.0,24.2,2,0,1
3,57.0,49.0,10.0,15.0,2,0,0
2,29.5,94.0,10.0,5.8,2,0,0
2,28.0,85.0,10.0,5.8,2,0,0
2,30.9,82.0,10.0,3.5,28,0,0
2,30.9,82.0,10.0,3.5,28,0,1
2,32.0,91.0,10.0,5.8,27,0,0
2,28.4,93.0,10.0,2.3,34,0,0
3,33.1,85.0,10.0,6.9,27,0,0
2,28.9,96.0,10.0,3.5,2,0,0
2,27.9,97.0,10.0,3.5,2,0,1
2,27.9,97.0,10.0,3.5,2,0,0
2,32.5,94.0,10.0,4.6,2,0,1
3,28.9,96.0,10.0,3.5,2,0,0
3,35.1,76.0,10.0,5.8,33,0,0
2,36.0,79.0,10.0,3.5,2,0,0
2,34.0,79.0,10.0,9.2,2,0,0
2,33.1,89.0,10.0,6.9,33,0,0
2,36.0,82.0,10.0,8.1,33,0,0
2,37.0,77.0,10.0,5.8,2,0,0
2,37.0,77.0,10.0,5.8,2,0,1
2,36.0,82.0,10.0,8.1,33,0,1
2,41.0,62.0,10.0,11.5,25,0,1
2,42.8,57.0,10.0,8.1,33,0,0
2,42.8,57.0,10.0,8.1,33,0,1
2,43.0,53.0,10.0,6.9,25,0,0
2,41.0,62.0,10.0,11.5,25,0,0
2,48.7,47.0,10.0,6.9,2,0,0
2,48.0,50.0,10.0,5.8,2,0,0
2,46.9,52.0,10.0,9.2,33,0,1
2,47.5,49.0,10.0,11.5,2,0,1
3,30.9,72.0,10.0,3.5,25,0,0
2,30.0,69.0,10.0,10.4,2,0,1
2,31.8,79.0,10.0,3.5,2,0,1
2,28.9,69.0,10.0,6.9,2,0,0
2,32.0,79.0,10.0,5.8,2,0,0
2,30.9,67.0,10.0,10.4,2,0,1
2,30.9,67.0,10.0,10.4,2,0,1
3,33.8,65.0,10.0,8.1,2,0,0
2,35.1,61.0,10.0,9.2,28,0,1
2,38.3,53.0,10.0,11.5,2,0,0
2,39.9,55.0,10.0,8.1,2,0,1
2,39.0,55.0,10.0,15.0,33,0,1
2,48.4,46.0,10.0,8.1,2,0,1
2,54.0,51.0,10.0,11.5,2,0,0
3,36.0,70.0,10.0,15.0,25,1,0
3,53.1,52.0,10.0,8.1,27,0,0
3,53.1,52.0,10.0,8.1,27,0,0
3,53.1,52.0,10.0,8.1,27,0,0
3,50.0,64.0,10.0,8.1,27,0,0
3,44.6,73.0,10.0,9.2,33,0,0
2,41.0,93.0,4.0,20.7,17,0,1
2,42.1,89.0,3.0,17.3,31,0,1
3,37.9,100.0,2.5,21.9,11,0,0
3,33.1,85.0,3.0,15.0,15,0,0
3,39.2,100.0,6.0,18.4,17,0,0
2,42.1,92.0,4.0,13.8,31,0,1
2,40.6,99.0,9.0,9.2,31,0,1
2,42.8,87.0,9.0,8.1,17,0,1
3,33.8,100.0,2.5,15.0,31,0,0
3,40.6,99.0,9.0,9.2,31,0,0
2,40.6,99.0,9.0,9.2,31,0,0
2,39.9,86.0,4.0,12.7,31,0,0
2,49.0,100.0,10.0,10.0,3,0,0
2,40.6,99.0,9.0,9.2,31,0,0
2,42.8,100.0,5.0,9.2,17,0,0
2,42.8,100.0,5.0,9.2,17,0,0
2,44.1,89.0,5.0,16.1,31,0,0
2,39.9,89.0,4.0,12.7,31,1,0
3,41.0,99.0,3.0,15.0,31,0,0
3,39.9,89.0,4.0,12.7,31,0,0
3,35.1,92.0,2.0,18.4,31,0,0
3,39.9,89.0,4.0,12.7,31,0,0
2,44.1,93.0,1.8,15.0,11,0,0
1,46.0,86.0,7.0,11.5,17,0,0
2,44.1,93.0,1.8,15.0,11,0,0
2,41.0,99.0,3.0,15.0,31,0,0
2,39.0,96.0,1.8,15.0,31,0,0
2,41.0,99.0,3.0,15.0,31,0,0
2,41.0,93.0,7.0,11.5,4,0,1
2,45.0,90.0,2.0,16.1,17,0,1
2,48.0,89.0,10.0,9.2,27,0,0
3,35.1,89.0,1.5,13.8,17,0,0
2,44.1,100.0,8.0,9.2,27,0,0
2,50.0,100.0,10.0,9.2,27,0,0
3,52.0,80.0,10.0,18.4,27,1,0
2,33.8,90.0,10.0,15.0,27,0,0
2,30.2,93.0,3.0,12.7,22,0,0
2,30.9,92.0,0.5,23.0,37,0,0
2,33.4,90.0,7.0,12.7,22,0,0
3,32.0,88.0,9.0,15.0,27,0,0
2,33.1,89.0,4.0,18.4,22,0,1
3,33.8,87.0,7.0,13.8,27,0,0
2,33.1,85.0,4.0,11.5,22,0,0
2,35.1,78.0,2.5,18.4,22,0,0
2,33.1,89.0,5.0,20.7,22,0,1
2,33.1,89.0,5.0,20.7,22,0,0
2,32.0,50.0,10.0,8.1,27,0,0
2,34.3,52.0,10.0,9.2,27,0,0
3,32.0,51.0,10.0,9.2,27,0,0
3,28.9,67.0,5.0,11.5,22,0,0
2,33.1,61.0,10.0,10.4,27,0,1
3,42.1,55.0,10.0,6.9,33,0,0
2,63.1,35.0,10.0,26.5,2,0,0
2,62.8,32.0,10.0,23.0,2,0,0
2,41.0,82.0,6.0,15.0,9,0,0
2,37.0,89.0,8.0,17.3,27,0,0
2,36.0,86.0,10.0,21.9,27,0,0
3,39.0,79.0,10.0,13.8,27,0,0
3,37.9,70.0,10.0,13.8,27,0,0
2,37.9,86.0,10.0,12.7,27,0,0
2,37.0,67.0,10.0,15.0,27,0,1
2,39.0,70.0,4.0,9.2,9,0,1
2,39.2,75.0,10.0,11.5,27,0,0
2,39.2,75.0,10.0,15.0,27,0,1
2,42.1,70.0,10.0,18.4,25,0,0
3,44.6,66.0,10.0,17.3,33,0,0
2,54.1,40.0,10.0,15.0,2,0,1
2,53.1,37.0,10.0,11.5,2,0,0
2,52.5,41.0,10.0,13.8,2,0,0
2,50.0,52.0,10.0,11.5,33,0,1
3,48.9,46.0,10.0,9.2,33,1,0
3,44.6,66.0,10.0,5.8,33,0,0
2,46.0,58.0,10.0,10.4,28,0,0
2,45.0,52.0,10.0,4.6,2,0,1
2,34.0,85.0,10.0,3.5,2,0,0
2,37.9,68.0,10.0,8.1,2,0,0
2,37.0,79.0,10.0,9.2,25,0,0
2,35.6,81.0,10.0,3.5,2,0,1
2,37.0,73.0,10.0,4.6,25,0,1
3,33.8,87.0,10.0,3.5,2,0,0
2,46.6,61.0,10.0,6.9,2,0,0
2,54.1,42.0,10.0,6.9,25,0,0
2,54.3,43.0,10.0,13.8,27,0,1
2,53.6,52.0,10.0,6.9,27,0,0
3,42.8,93.0,4.0,9.2,31,0,0
2,55.9,39.0,10.0,8.1,17,0,1
2,48.0,71.0,10.0,8.1,17,0,0
2,48.0,96.0,4.0,5.8,17,0,0
3,48.2,93.0,8.0,8.1,17,0,0
3,48.2,100.0,8.0,9.2,27,0,0
3,50.0,94.0,5.0,10.4,17,0,0
2,39.0,82.0,10.0,25.3,27,0,1
2,48.2,87.0,10.0,15.0,27,0,0
3,28.9,54.0,10.0,11.5,27,0,0
2,30.9,47.0,10.0,5.8,33,0,0
3,30.9,47.0,10.0,11.5,33,0,0
2,25.0,66.0,10.0,10.4,25,0,0
2,29.8,48.0,10.0,5.8,2,0,1
2,28.9,56.0,10.0,4.6,28,0,1
2,25.0,66.0,10.0,4.6,25,0,0
2,25.2,79.0,10.0,3.5,27,0,0
3,27.0,61.0,10.0,6.9,27,0,0
2,30.2,75.0,3.0,5.8,22,0,0
2,30.2,75.0,3.0,5.8,22,0,0
3,26.6,80.0,10.0,5.8,27,0,0
3,28.0,58.0,10.0,9.2,27,0,0
2,28.9,78.0,4.0,3.5,22,0,0
2,30.6,79.0,10.0,5.8,22,0,0
3,30.2,69.0,10.0,5.8,27,0,1
3,30.0,92.0,1.0,8.1,22,0,0
2,32.0,93.0,1.0,4.6,22,0,0
2,34.0,79.0,3.0,10.4,22,0,0
2,32.0,100.0,2.5,6.9,22,0,0
2,33.1,96.0,1.5,8.1,22,0,0
2,33.1,94.0,1.5,6.9,22,0,0
2,33.1,89.0,1.0,6.9,22,0,0
2,33.1,82.0,2.0,8.1,22,0,0
2,30.2,100.0,1.0,4.6,22,0,0
3,34.0,96.0,2.5,8.1,22,0,0
2,33.1,96.0,2.0,6.9,22,0,0
2,32.0,100.0,1.8,6.9,22,0,0
3,30.2,93.0,1.5,4.6,22,1,0
3,32.0,100.0,1.8,5.8,22,0,0
3,32.0,92.0,2.5,6.9,22,0,0
3,32.0,92.0,2.5,6.9,22,0,0
2,31.6,100.0,2.5,3.5,22,0,1
3,31.6,100.0,2.5,3.5,22,0,0
3,31.6,100.0,2.5,3.5,22,0,0
3,30.9,96.0,2.5,12.7,27,0,0
3,32.9,99.0,7.0,8.1,27,0,0
2,30.9,96.0,3.0,12.7,27,0,1
2,30.9,96.0,3.0,12.7,27,0,0
3,32.0,100.0,2.5,9.2,27,0,0
3,28.9,85.0,9.0,5.8,27,0,0
2,30.0,96.0,4.0,13.8,27,0,0
2,32.0,93.0,4.0,9.2,27,0,0
2,32.0,80.0,6.0,9.2,9,0,0
3,32.0,80.0,6.0,9.2,9,0,0
2,31.8,99.0,6.0,10.4,27,0,1
2,30.0,96.0,4.0,13.8,27,0,0
2,32.0,88.0,6.0,9.2,27,0,0
2,32.5,92.0,5.0,5.8,27,0,1
2,32.0,93.0,10.0,3.5,27,0,1
2,32.0,88.0,4.0,6.9,27,0,0
2,32.0,88.0,5.0,8.1,27,0,0
2,33.8,81.0,7.0,4.6,27,0,0
2,34.0,70.0,10.0,9.2,27,0,0
2,33.8,75.0,7.0,5.8,27,0,1
2,33.8,75.0,7.0,5.8,27,0,1
2,33.1,82.0,10.0,2.3,27,0,0
3,30.9,85.0,5.0,8.1,27,0,0
2,37.0,76.0,10.0,9.2,2,0,0
3,39.0,79.0,10.0,8.1,2,0,1
2,42.1,70.0,10.0,9.2,27,0,0
3,46.9,56.0,10.0,21.9,2,0,0
2,48.9,54.0,10.0,12.7,2,0,0
2,46.4,66.0,10.0,8.1,25,0,0
3,45.0,65.0,10.0,10.4,2,0,0
2,52.0,47.0,10.0,11.5,27,0,0
2,60.1,37.0,10.0,20.7,27,0,1
2,60.1,37.0,10.0,20.7,27,0,1
2,57.9,41.0,10.0,15.0,2,0,1
2,62.1,34.0,10.0,19.6,2,0,0
2,59.0,46.0,10.0,13.8,17,0,1
2,62.4,35.0,10.0,17.3,17,0,1
3,58.8,47.0,10.0,8.1,27,0,0
3,52.0,59.0,10.0,9.2,2,0,0
2,51.1,56.0,10.0,9.2,28,0,0
2,53.1,52.0,10.0,10.4,25,0,0
2,50.5,58.0,10.0,5.8,27,0,0
2,54.0,47.0,10.0,5.8,27,0,1
2,55.4,49.0,10.0,5.8,2,0,1
2,55.2,50.0,10.0,4.6,2,0,0
2,53.1,52.0,10.0,10.4,27,0,1
2,55.0,47.0,10.0,9.2,27,0,0
2,56.7,51.0,10.0,13.8,27,0,1
3,55.0,49.0,10.0,9.2,27,1,0
3,53.1,50.0,10.0,10.4,25,0,0
2,56.7,51.0,10.0,13.8,27,0,0
2,61.2,46.0,10.0,18.4,25,0,0
2,65.1,43.0,10.0,11.5,2,0,0
2,66.0,45.0,10.0,16.1,2,0,1
2,66.0,45.0,10.0,16.1,2,0,1
2,66.0,50.0,10.0,19.6,33,0,1
2,70.2,43.0,10.0,18.4,2,0,1
3,68.0,45.0,10.0,13.8,27,1,0
2,71.6,41.0,10.0,18.4,2,0,0
2,71.1,39.0,10.0,16.1,25,0,0
2,71.1,32.0,10.0,15.0,2,0,0
2,69.1,32.0,10.0,11.5,2,0,0
2,69.1,32.0,10.0,11.5,2,0,0
3,69.1,32.0,10.0,11.5,2,0,0
3,66.9,31.0,10.0,8.1,25,0,0
3,57.0,64.0,10.0,16.1,2,0,0
2,55.9,64.0,10.0,9.2,2,0,0
2,55.0,64.0,10.0,8.1,2,0,1
3,54.0,66.0,10.0,4.6,25,0,0
2,54.0,66.0,10.0,4.6,25,0,0
3,63.0,58.0,10.0,13.8,2,0,0
2,61.0,62.0,10.0,6.9,2,0,0
2,64.0,58.0,10.0,16.1,25,0,0
2,64.0,58.0,10.0,16.1,25,0,0
2,63.0,58.0,10.0,13.8,28,0,0
2,66.0,54.0,10.0,15.0,25,0,1
2,70.2,49.0,10.0,19.6,33,0,0
2,70.2,49.0,10.0,19.6,33,0,1
2,70.0,47.0,10.0,21.9,28,0,0
2,73.0,44.0,10.0,18.4,25,0,0
2,69.8,49.0,7.0,17.3,20,0,0
2,66.9,59.0,9.0,16.1,17,0,1
2,66.9,59.0,9.0,16.1,17,0,1
3,55.4,100.0,7.0,5.8,27,0,0
3,57.0,89.0,10.0,6.9,27,1,0
3,55.9,100.0,10.0,4.6,27,0,0
3,59.0,87.0,10.0,9.2,17,1,0
3,59.0,87.0,6.0,9.2,31,0,0
2,59.0,87.0,10.0,6.9,27,0,0
2,57.9,93.0,7.0,13.8,17,0,0
3,57.9,93.0,7.0,13.8,17,0,0
2,57.2,100.0,7.0,11.5,17,0,0
2,59.2,100.0,10.0,11.5,27,1,0
2,60.1,93.0,10.0,6.9,27,0,0
3,57.2,100.0,10.0,6.9,27,0,0
3,59.0,93.0,10.0,9.2,25,0,0
2,57.9,100.0,1.2,13.8,17,0,1
2,57.9,100.0,1.8,9.2,17,0,1
2,59.0,100.0,2.5,15.0,17,0,0
2,59.0,90.0,6.0,8.1,17,0,1
2,60.8,100.0,2.8,10.4,17,0,0
2,59.9,100.0,2.8,10.4,17,0,0
3,60.1,90.0,1.8,13.8,31,0,0
3,59.0,94.0,5.0,6.9,17,0,0
2,60.8,100.0,4.0,11.5,17,0,0
3,60.8,94.0,2.0,9.2,31,0,0
3,60.8,100.0,2.5,6.9,17,0,0
2,66.0,70.0,10.0,5.0,17,0,0
2,60.8,100.0,2.0,5.8,17,0,1
3,60.1,90.0,5.0,12.7,31,0,0
3,60.1,93.0,2.0,6.9,17,0,0
2,58.5,99.0,5.0,5.8,17,0,0
3,57.6,100.0,2.5,11.5,31,0,0
2,58.6,98.0,5.0,9.2,31,0,0
2,56.5,95.0,10.0,9.2,31,0,1
2,46.9,80.0,8.0,10.4,27,0,1
3,44.6,93.0,10.0,6.9,25,1,0
2,37.0,89.0,10.0,9.2,27,0,0
2,37.0,89.0,10.0,12.7,27,0,0
2,45.5,98.0,10.0,10.4,27,0,1
2,45.0,90.0,7.0,12.7,27,0,1
2,45.0,90.0,7.0,12.7,27,0,1
2,46.9,80.0,8.0,12.7,27,0,0
2,45.0,90.0,7.0,12.7,27,0,0
